screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
pdmovies,unknown,137978069,Public Domain Movies ROP,0,False,en,"[{'text': 'movie', 'indices': [43, 49]}, {'text': 'fullmovie', 'indices': [50, 60]}, {'text': 'film', 'indices': [61, 66]}, {'text': 'movies', 'indices': [67, 74]}, {'text': 'pd', 'indices': [75, 78]}]",2019-07-04 22:32:11,"Dishonored Lady, 1947 starring Hedy Lamarr s ** GSuite: https://t.co/lhsbDF9Fpp… https://t.co/TOytUWVAKi","['movie', 'fullmovie', 'film', 'movies', 'pd']",False,,104,True,0,
Stephen_BIack,"North Carolina, USA",1097224962321145859,Twitter for Android,0,False,en,"[{'text': 'film', 'indices': [35, 40]}]",2019-07-04 22:30:32,What's the best way to get eyes on reviews? Asking for a friend. Seriously though... How do I do that? https://t.co/yLHaMX8Rrg,['film'],False,,126,True,0,
dvdinfatuation,Pennsylvania,190586896,TweetDeck,0,False,en,"[{'text': 'film', 'indices': [37, 42]}]",2019-07-04 22:30:00,"For years, the director of this 2000 wrote a column for Business Review Weekly magazine -… https://t.co/QujHnPtYIm",['film'],False,,114,True,0,
Dr_Katie_J_Lamb,England,60353679,Twitter for Android,0,False,en,[],2019-07-04 22:29:51,A new short film project organised with @thisisjukebox starting on the 17th July at the fabulous location of Koda Coffee…,[],True,MarthaCattell,121,False,0,
experiment2853,unknown,1074816466409598976,Twitter Web Client,0,False,en,"[{'text': 'SCPfoundation', 'indices': [75, 89]}, {'text': 'Lego', 'indices': [90, 95]}, {'text': 'brickfilm', 'indices': [96, 106]}, {'text': 'animation', 'indices': [107, 117]}, {'text': 'stopmotion', 'indices': [118, 129]}]",2019-07-04 22:28:00,A small preview for my upcomming brickfilm: @scpwiki,"['SCPfoundation', 'Lego', 'brickfilm', 'animation', 'stopmotion', 'sneakpea']",True,STARWARSSTUDIO,52,False,0,
jassmiranda,"Oakland, California",38001539,Twitter for iPhone,0,False,en,"[{'text': 'OaklandCreatives', 'indices': [2, 19]}]",2019-07-04 22:27:16,️ Fremont High school &amp; Media Academy Alum Andy To brought tears to my eyes with this moving shor… https://t.co/gDFAjZPfZQ,['OaklandCreatives'],False,,127,True,1,❤
Ozzzy2013,unknown,1856174838,Twitter Web Client,0,False,en,"[{'text': 'trailer', 'indices': [49, 57]}, {'text': 'poster', 'indices': [59, 66]}, {'text': 'HorrorMovies', 'indices': [68, 81]}, {'text': 'film', 'indices': [83, 88]}]",2019-07-04 22:27:03,3 LIVES. (TRAILER 2019): https://t.co/iODEkINrgc https://t.co/95MPhHgLYX,"['trailer', 'poster', 'HorrorMovies', 'film']",False,,72,True,0,
hpvalverde,unknown,906367434180804608,Twitter Web Client,0,False,en,"[{'text': 'SpiderManFarFromHome', 'indices': [65, 86]}]",2019-07-04 22:26:50,"Movie review: ""Save for Jake Gyllenhaal’s fantastic performance, isn’t rich in the character… https://t.co/MZsqZd5SUU",['SpiderManFarFromHome'],False,,117,True,0,
FlawInTheIris,"Halifax, NS",373155003,Twitter for iPhone,0,False,en,"[{'text': 'Netflix', 'indices': [37, 45]}, {'text': 'TheFateoftheFurious', 'indices': [47, 67]}]",2019-07-04 22:25:17,"New on Canadian : , the eighth in the Fast &amp; Furious franchise. Pistons pop and fizzle in…","['Netflix', 'TheFateoftheFurious']",True,halifaxbloggers,94,False,0,
Donnie_Walsh0,unknown,2961752321,Twitter Web Client,0,False,en,"[{'text': 'hydrographic', 'indices': [78, 91]}, {'text': 'water', 'indices': [92, 98]}, {'text': 'transfer', 'indices': [99, 108]}, {'text': 'printing', 'indices': [109, 118]}, {'text': 'film', 'indices': [119, 124]}, {'text': 'gold', 'indices': [125, 130]}, {'text': 'carbon', 'indices': [131, 138]}]",2019-07-04 22:24:11,hydrographic water transfer printing film gold carbon fiber,"['hydrographic', 'water', 'transfer', 'printing', 'film', 'gold', 'carbon']",True,FHydrochrome,59,False,0,
